iter	Passed	Remaining
635	30164	7778
636	30200	7728
637	30242	7679
638	30282	7629
639	30323	7580
640	30362	7531
641	30411	7484
642	30452	7435
643	30490	7385
644	30533	7337
645	30572	7288
646	30608	7238
647	30648	7189
648	30684	7139
649	30730	7091
650	30766	7041
651	30821	6996
652	30858	6946
653	30899	6898
654	30937	6848
655	30976	6799
656	31017	6751
657	31056	6702
658	31095	6653
659	31135	6604
660	31173	6555
661	31215	6507
662	31260	6459
663	31299	6410
664	31346	6363
665	31381	6314
666	31422	6265
667	31469	6218
668	31509	6169
669	31546	6120
670	31586	6072
671	31627	6024
672	31664	5975
673	31705	5927
674	31746	5879
675	31784	5830
676	31820	5781
677	31863	5733
678	31907	5685
679	31945	5637
680	31985	5589
681	32023	5540
682	32066	5493
683	32104	5444
684	32142	5396
685	32186	5348
686	32222	5300
687	32263	5252
688	32305	5204
689	32345	5156
690	32385	5108
691	32428	5061
692	32466	5012
693	32505	4964
694	32544	4916
695	32584	4868
696	32623	4820
697	32666	4773
698	32705	4725
699	32739	4677
700	32780	4629
701	32818	4581
702	32860	4534
703	32895	4485
704	32932	4437
705	32977	4390
706	33013	4342
707	33050	4294
708	33110	4249
709	33146	4201
710	33196	4155
711	33228	4106
712	33260	4058
713	33291	4009
714	33324	3961
715	33347	3912
716	33378	3863
717	33405	3815
718	33433	3766
719	33456	3717
720	33478	3668
721	33500	3619
722	33526	3570
723	33548	3521
724	33570	3472
725	33592	3423
726	33614	3375
727	33637	3326
728	33657	3277
729	33680	3229
730	33704	3181
731	33726	3133
732	33746	3084
733	33770	3036
734	33790	2988
735	33805	2939
736	33822	2891
737	33838	2842
738	33855	2794
739	33870	2746
740	33885	2698
741	33901	2649
742	33915	2601
743	33930	2553
744	33946	2506
745	33961	2458
746	33980	2410
747	33994	2363
748	34010	2315
749	34025	2268
750	34040	2220
751	34056	2173
752	34070	2126
753	34085	2079
754	34100	2032
755	34116	1985
756	34133	1938
757	34149	1892
758	34165	1845
759	34180	1798
760	34195	1752
761	34211	1706
762	34227	1659
763	34244	1613
764	34258	1567
765	34273	1521
766	34289	1475
767	34305	1429
768	34322	1383
769	34338	1337
770	34353	1292
771	34369	1246
772	34385	1201
773	34401	1155
774	34418	1110
775	34433	1064
776	34448	1019
777	34464	974
778	34481	929
779	34497	884
780	34512	839
781	34523	794
782	34534	749
783	34545	705
784	34555	660
785	34567	615
786	34580	571
787	34592	526
788	34602	482
789	34613	438
790	34625	393
791	34635	349
792	34645	305
793	34656	261
794	34667	218
795	34677	174
796	34688	130
797	34698	86
798	34709	43
799	34720	0
